DeliveryDate,HourEnding,North,South,West,Houston,SystemTotal,DSTFlag    
05/09/2025,7:00,13137.771849560546741,11085.651627172853298,8297.639598950196211,11822.95682177734375,44344.01989746094,N
05/09/2025,8:00,13764.577615588384154,11454.965636657718976,8331.89127148437562,12089.31547626953125,45640.75000000001,N
05/09/2025,9:00,14389.863105883792518,11846.786432751463976,8903.021558923337256,12750.27909775390625,47889.9501953125,N
05/09/2025,10:00,15053.43857424316429,12383.952750659181423,9482.893071093753037,13473.29592626953125,50393.58032226563,N
05/09/2025,11:00,15565.65411380615223,12889.779295739745226,9648.076255493162544,13865.0495390625,51968.55920410156,N
05/09/2025,12:00,15869.600679479982855,13361.486727770995226,9612.842707592771919,14243.27984609375,53087.2099609375,N
05/09/2025,13:00,16234.451847460931183,13864.542300793457899,9566.096192663574668,14611.78929775390625,54276.87963867187,N
05/09/2025,14:00,16667.781169702149982,14478.599875402832899,9649.546714953615869,15197.07199580078125,55992.99975585938,N
05/09/2025,15:00,17223.847088220219002,15119.057109790040798,9747.9351812866252,15745.940894140625,57836.78027343751,N
05/09/2025,16:00,17633.607090319824105,15715.925762878417101,9841.315474340818794,16340.7323609375,59531.58068847656,N
05/09/2025,17:00,18025.951984863285067,16217.355631335448351,9893.194333605956582,16730.9285921875,60867.43054199219,N
05/09/2025,18:00,18072.824726379390373,16427.892558911131077,9787.54980435790605,16744.7719728515625,61033.03906249999,N
05/09/2025,19:00,17847.549249682618732,16121.031545568848524,9455.106624279787744,16148.582844140625,59572.27026367188,N
05/09/2025,20:00,17174.902801843259105,15430.588268884276476,9051.099425756834419,15332.8086734375,56989.39916992187,N
05/09/2025,21:00,16676.58834909667946,14807.045695385740452,8737.326221533200088,14836.7206421875,55057.68090820312,N
05/09/2025,22:00,16248.20863552246321,14309.794412915037327,8777.609154589840713,14406.42746982421875,53742.03967285156,N
05/09/2025,23:00,15326.175152478025913,13460.662892578125,8813.622098010252837,13747.25042822265625,51347.71057128906,N
05/09/2025,24:00,14194.925137915041924,12495.856787060551875,8735.430697680666201,12981.00710390625,48407.21972656251,N
05/10/2025,1:00,13244.404149169924375,11594.67909599609375,8630.530610888671875,12334.70584609375,45804.31970214844,N
05/10/2025,2:00,12364.486225598145962,10790.192295947270625,8543.232162438965913,11781.9097505859375,43479.82043457032,N
05/10/2025,3:00,11710.52035827636946,10205.019372436526702,8476.143924365231338,11323.0164181640625,41714.70007324219,N
05/10/2025,4:00,11284.521052752683397,9880.2487569763232726,8421.5786847045918304,10950.4189005859375,40536.767395019536,N
05/10/2025,5:00,11053.037766436764728,9653.1571321838429774,8365.4176042114237946,10736.8405611328125,39808.453063964844,N
05/10/2025,6:00,11165.527163549805049,9588.55134638671875,8359.405470141603701,10695.8235150390625,39809.30749511719,N
05/10/2025,7:00,11455.005255010994201,9764.1992200256348524,8265.0364203735374466,10760.0095318359375,40244.250427246104,N
05/10/2025,8:00,11866.740165747076857,10071.615925549322274,8254.701802160647119,10987.53219443359375,41180.59008789064,N
05/10/2025,9:00,12788.06217609862804,10678.043085131837673,8823.162819921878037,11715.09227041015625,44004.3603515625,N
05/10/2025,10:00,13628.970681127926826,11319.14700039063,9354.480674926755674,12376.3816240234375,46678.97998046875,N
05/10/2025,11:00,14240.574401159674627,11837.790089868160798,9497.772424987797075,12647.3026591796875,48223.43957519532,N
05/10/2025,12:00,14746.832627136230355,12303.726186315912101,9465.887052172850044,12893.7947349609375,49410.24060058593,N
05/10/2025,13:00,15220.976335180668107,12774.876072473145399,9447.083541467287744,13125.83370419921875,50568.76965332032,N
05/10/2025,14:00,15596.337873962406502,13336.478381909181423,9580.718545007328325,13479.15514052734375,51992.68994140626,N
05/10/2025,15:00,16107.402263061531299,13974.232451904296875,9731.678743823244326,13925.7866388671875,53739.10009765626,N
05/10/2025,16:00,16646.538338378910067,14678.624053845213976,9827.463946447753457,14463.4834025390625,55616.10974121094,N
05/10/2025,17:00,17169.911136999511471,15298.179778527832899,9884.21562685546813,14896.0137701171875,57248.3203125,N
05/10/2025,18:00,17404.4973835937525,15609.527271533203125,9794.308612939453125,15010.50694189453125,57818.84020996094,N
05/10/2025,19:00,17279.678825646979087,15464.155391455078125,9459.691970202637788,14742.114071484375,56945.64025878907,N
05/10/2025,20:00,16703.191876953130589,14897.416289184572048,9094.607699877934863,14178.7234650390625,54873.9393310547,N
05/10/2025,21:00,16179.86978454590321,14355.262826000974827,8786.208621972653213,13872.77888466796875,53194.1201171875,N
05/10/2025,22:00,15725.554450756837482,13898.759849816895399,8751.691690246584619,13577.7134916015625,51953.71948242188,N
05/10/2025,23:00,14868.097203234862078,13105.170258032233298,8745.244463244630874,13081.53800224609375,49800.04992675782,N
05/10/2025,24:00,13808.850600927738058,12191.409070812989149,8628.233285095215293,12473.6562130859375,47102.14916992188,N
